StudentID,Level,Program,Country,Gender,IntakeYear,Status
STU000001,Master,Psychology,United Kingdom,Male,2023,Deferred
STU000002,Master,Medicine,Malaysia,Male,2021,Graduated
STU000003,Bachelor,Engineering,South Korea,Male,2024,Deferred
STU000004,Bachelor,Biology,Japan,Male,2024,Graduated
STU000005,PhD,Arts,India,Male,2022,Graduated
STU000006,Foundation,Medicine,United States,Female,2023,Deferred
STU000007,PhD,Law,Australia,Female,2020,Deferred
STU000008,Bachelor,Economics,Malaysia,Male,2024,Active
STU000009,PhD,Chemistry,Philippines,Male,2021,Graduated
STU000010,Bachelor,Chemistry,Australia,Female,2022,Active
STU000011,Foundation,Mathematics,Australia,Female,2023,Graduated
STU000012,Diploma,Economics,Thailand,Female,2022,Deferred
STU000013,PhD,Physics,Japan,Female,2024,Active
STU000014,Foundation,Arts,India,Male,2019,Active
STU000015,Diploma,Engineering,South Korea,Female,2022,Active
STU000016,PhD,Business Administration,India,Female,2019,Graduated
STU000017,Foundation,Computer Science,Japan,Female,2019,Active
STU000018,Diploma,Engineering,Philippines,Female,2019,Active
STU000019,Diploma,Economics,Japan,Female,2023,Deferred
STU000020,Foundation,Business Administration,Philippines,Female,2022,Graduated
STU000021,Foundation,Law,Japan,Female,2024,Deferred
STU000022,Diploma,Chemistry,Indonesia,Female,2019,Graduated
STU000023,Diploma,Psychology,Canada,Female,2023,Active
STU000024,Bachelor,Computer Science,Thailand,Female,2023,Graduated
STU000025,Bachelor,Business Administration,Philippines,Male,2021,Graduated
STU000026,Bachelor,Psychology,Indonesia,Male,2021,Active
STU000027,Master,Engineering,Thailand,Female,2023,Graduated
STU000028,PhD,Mathematics,Indonesia,Female,2021,Graduated
STU000029,Diploma,Business Administration,United States,Female,2021,Graduated
STU000030,PhD,Computer Science,South Korea,Female,2019,Deferred
STU000031,Bachelor,Computer Science,Singapore,Male,2023,Graduated
STU000032,PhD,Psychology,United Kingdom,Female,2021,Active
STU000033,Foundation,Engineering,India,Male,2024,Active
STU000034,PhD,Economics,Australia,Female,2019,Graduated
STU000035,PhD,Mathematics,United Kingdom,Female,2024,Deferred
STU000036,Bachelor,Biology,China,Male,2020,Deferred
STU000037,Master,Engineering,Japan,Female,2019,Deferred
STU000038,PhD,Engineering,Vietnam,Female,2024,Deferred
STU000039,Diploma,Engineering,Vietnam,Female,2021,Graduated
STU000040,PhD,Biology,China,Male,2019,Graduated
STU000041,Master,Economics,Australia,Male,2023,Deferred
STU000042,Foundation,Engineering,Indonesia,Female,2019,Deferred
STU000043,Bachelor,Biology,Thailand,Male,2020,Deferred
STU000044,Diploma,Physics,Singapore,Male,2019,Deferred
STU000045,PhD,Chemistry,United States,Female,2021,Graduated
STU000046,Bachelor,Medicine,India,Female,2024,Active
STU000047,Diploma,Arts,Philippines,Female,2023,Graduated
STU000048,Bachelor,Arts,Malaysia,Male,2021,Graduated
STU000049,Foundation,Business Administration,Canada,Female,2021,Graduated
STU000050,Foundation,Engineering,Canada,Male,2024,Deferred
STU000051,Diploma,Mathematics,United Kingdom,Male,2020,Graduated
STU000052,Diploma,Chemistry,Singapore,Female,2023,Graduated
STU000053,PhD,Arts,Malaysia,Female,2020,Graduated
STU000054,Bachelor,Physics,Australia,Female,2019,Graduated
STU000055,Bachelor,Arts,South Korea,Female,2023,Graduated
STU000056,Bachelor,Physics,Malaysia,Female,2024,Deferred
STU000057,PhD,Arts,United Kingdom,Male,2019,Active
STU000058,Master,Physics,United Kingdom,Female,2021,Active
STU000059,Diploma,Business Administration,Japan,Female,2024,Active
STU000060,Diploma,Economics,Japan,Male,2022,Graduated
STU000061,Master,Computer Science,India,Female,2019,Active
STU000062,Bachelor,Biology,Japan,Female,2021,Graduated
STU000063,Master,Biology,Australia,Female,2023,Graduated
STU000064,Foundation,Law,South Korea,Female,2021,Active
STU000065,Diploma,Computer Science,Indonesia,Male,2021,Active
STU000066,Foundation,Mathematics,Indonesia,Male,2021,Graduated
STU000067,Foundation,Arts,Malaysia,Male,2022,Deferred
STU000068,Master,Business Administration,Japan,Male,2022,Active
STU000069,Bachelor,Economics,United Kingdom,Male,2020,Active
STU000070,Diploma,Law,Australia,Male,2020,Deferred
STU000071,Bachelor,Mathematics,United Kingdom,Female,2020,Active
STU000072,PhD,Law,United States,Female,2023,Deferred
STU000073,PhD,Engineering,Australia,Female,2023,Graduated
STU000074,Foundation,Arts,Philippines,Male,2024,Active
STU000075,Foundation,Mathematics,Malaysia,Male,2020,Deferred
STU000076,Foundation,Computer Science,Japan,Male,2021,Active
STU000077,Bachelor,Economics,Australia,Female,2023,Active
STU000078,Foundation,Chemistry,Philippines,Female,2022,Active
STU000079,Foundation,Arts,Indonesia,Male,2020,Graduated
STU000080,Master,Chemistry,Japan,Female,2024,Deferred
STU000081,Master,Biology,United States,Male,2021,Active
STU000082,Bachelor,Business Administration,Philippines,Male,2020,Active
STU000083,Master,Psychology,Vietnam,Female,2022,Deferred
STU000084,Master,Mathematics,Singapore,Male,2022,Active
STU000085,Foundation,Biology,Indonesia,Male,2021,Graduated
STU000086,Foundation,Biology,United States,Male,2024,Active
STU000087,Foundation,Medicine,India,Female,2022,Graduated
STU000088,Bachelor,Psychology,South Korea,Male,2019,Graduated
STU000089,Foundation,Engineering,Canada,Female,2019,Graduated
STU000090,Foundation,Arts,Japan,Female,2020,Deferred
STU000091,Foundation,Arts,China,Female,2022,Active
STU000092,Bachelor,Physics,China,Male,2019,Graduated
STU000093,Master,Medicine,Malaysia,Female,2019,Graduated
STU000094,Bachelor,Law,Indonesia,Female,2024,Graduated
STU000095,Foundation,Psychology,South Korea,Male,2019,Active
STU000096,Foundation,Medicine,Philippines,Male,2021,Deferred
STU000097,PhD,Physics,China,Male,2024,Graduated
STU000098,PhD,Chemistry,Indonesia,Male,2024,Graduated
STU000099,PhD,Chemistry,China,Male,2020,Deferred
STU000100,PhD,Business Administration,Thailand,Female,2022,Deferred
STU000101,Foundation,Arts,South Korea,Male,2022,Graduated
STU000102,Master,Engineering,Philippines,Male,2022,Active
STU000103,Master,Physics,Indonesia,Female,2022,Active
STU000104,Master,Biology,Japan,Female,2022,Active
STU000105,Foundation,Economics,China,Male,2020,Graduated
STU000106,Diploma,Engineering,Japan,Female,2024,Graduated
STU000107,PhD,Physics,Singapore,Male,2022,Graduated
STU000108,PhD,Biology,United Kingdom,Female,2021,Active
STU000109,Diploma,Arts,Indonesia,Male,2019,Deferred
STU000110,Foundation,Chemistry,Vietnam,Male,2020,Deferred
STU000111,Bachelor,Engineering,Singapore,Male,2021,Deferred
STU000112,Foundation,Economics,Singapore,Female,2022,Active
STU000113,Bachelor,Biology,Singapore,Female,2022,Deferred
STU000114,Master,Chemistry,Vietnam,Male,2024,Graduated
STU000115,PhD,Mathematics,Australia,Female,2022,Deferred
STU000116,Foundation,Business Administration,South Korea,Male,2024,Graduated
STU000117,Master,Law,Philippines,Male,2019,Active
STU000118,PhD,Chemistry,India,Male,2023,Active
STU000119,Bachelor,Chemistry,Vietnam,Female,2020,Active
STU000120,Diploma,Computer Science,Indonesia,Female,2023,Active
STU000121,Bachelor,Chemistry,Indonesia,Female,2020,Deferred
STU000122,PhD,Biology,Canada,Female,2020,Graduated
STU000123,Foundation,Physics,Australia,Male,2020,Deferred
STU000124,Master,Business Administration,United States,Female,2021,Graduated
STU000125,Foundation,Computer Science,Thailand,Female,2022,Active
STU000126,Master,Chemistry,Canada,Female,2022,Active
STU000127,Bachelor,Psychology,Japan,Female,2019,Active
STU000128,Diploma,Arts,Philippines,Female,2024,Active
STU000129,Foundation,Psychology,Malaysia,Female,2022,Active
STU000130,Diploma,Economics,Japan,Female,2021,Active
STU000131,Bachelor,Physics,India,Female,2020,Deferred
STU000132,Master,Economics,India,Male,2019,Active
STU000133,Bachelor,Engineering,Vietnam,Male,2024,Graduated
STU000134,Bachelor,Mathematics,Malaysia,Female,2019,Graduated
STU000135,Diploma,Economics,Thailand,Female,2020,Deferred
STU000136,Foundation,Medicine,India,Male,2020,Deferred
STU000137,Bachelor,Engineering,United States,Female,2024,Graduated
STU000138,Foundation,Computer Science,South Korea,Female,2019,Deferred
STU000139,Master,Engineering,China,Female,2023,Graduated
STU000140,PhD,Business Administration,Thailand,Female,2020,Graduated
STU000141,PhD,Biology,United Kingdom,Female,2020,Deferred
STU000142,PhD,Economics,Philippines,Female,2020,Active
STU000143,Foundation,Medicine,Thailand,Female,2019,Graduated
STU000144,Bachelor,Mathematics,Vietnam,Male,2023,Active
STU000145,PhD,Business Administration,Philippines,Female,2024,Graduated
STU000146,PhD,Arts,Thailand,Male,2020,Active
STU000147,Foundation,Business Administration,Singapore,Female,2020,Deferred
STU000148,Diploma,Mathematics,United Kingdom,Male,2023,Graduated
STU000149,Master,Chemistry,Malaysia,Male,2019,Active
STU000150,Diploma,Medicine,South Korea,Female,2021,Deferred
STU000151,PhD,Chemistry,United States,Female,2024,Active
STU000152,Diploma,Economics,Philippines,Male,2022,Deferred
STU000153,Foundation,Medicine,Singapore,Male,2021,Deferred
STU000154,Foundation,Arts,Singapore,Female,2023,Deferred
STU000155,Master,Business Administration,Malaysia,Female,2021,Graduated
STU000156,Bachelor,Law,Philippines,Male,2020,Active
STU000157,Bachelor,Psychology,Indonesia,Male,2023,Deferred
STU000158,Bachelor,Physics,China,Female,2023,Deferred
STU000159,Bachelor,Physics,United Kingdom,Female,2023,Active
STU000160,Foundation,Biology,South Korea,Male,2020,Deferred
STU000161,Foundation,Chemistry,United Kingdom,Male,2019,Active
STU000162,Diploma,Computer Science,Thailand,Male,2024,Deferred
STU000163,Foundation,Engineering,Indonesia,Female,2020,Active
STU000164,Diploma,Biology,Japan,Female,2019,Deferred
STU000165,Master,Mathematics,Indonesia,Male,2021,Active
STU000166,Foundation,Psychology,Japan,Male,2022,Deferred
STU000167,Master,Mathematics,India,Male,2024,Deferred
STU000168,Foundation,Physics,United States,Female,2024,Active
STU000169,Master,Mathematics,Singapore,Male,2019,Active
STU000170,PhD,Mathematics,Indonesia,Female,2022,Graduated
STU000171,Master,Biology,South Korea,Female,2024,Deferred
STU000172,Bachelor,Engineering,Malaysia,Male,2020,Active
STU000173,Foundation,Physics,Philippines,Male,2021,Active
STU000174,Diploma,Law,Singapore,Male,2019,Deferred
STU000175,Master,Mathematics,South Korea,Male,2020,Graduated
STU000176,Diploma,Biology,Thailand,Male,2024,Deferred
STU000177,Diploma,Arts,United Kingdom,Female,2023,Graduated
STU000178,PhD,Psychology,Singapore,Female,2020,Active
STU000179,Bachelor,Mathematics,United States,Female,2022,Graduated
STU000180,PhD,Economics,United States,Male,2022,Graduated
STU000181,Bachelor,Business Administration,Vietnam,Female,2023,Active
STU000182,Bachelor,Chemistry,United Kingdom,Male,2024,Graduated
STU000183,Foundation,Engineering,South Korea,Male,2022,Active
STU000184,PhD,Mathematics,United Kingdom,Female,2023,Graduated
STU000185,Foundation,Medicine,Thailand,Male,2023,Active
STU000186,Foundation,Engineering,China,Male,2020,Graduated
STU000187,PhD,Computer Science,Singapore,Female,2022,Deferred
STU000188,PhD,Mathematics,Japan,Female,2024,Graduated
STU000189,Diploma,Engineering,Malaysia,Female,2021,Graduated
STU000190,Diploma,Business Administration,Malaysia,Female,2022,Deferred
STU000191,Bachelor,Law,United States,Female,2019,Deferred
STU000192,Bachelor,Economics,United States,Male,2019,Active
STU000193,Bachelor,Arts,United States,Male,2022,Active
STU000194,Diploma,Computer Science,United Kingdom,Female,2023,Graduated
STU000195,Bachelor,Chemistry,Indonesia,Female,2020,Active
STU000196,Diploma,Arts,South Korea,Male,2021,Active
STU000197,Master,Biology,Australia,Male,2020,Graduated
STU000198,Diploma,Arts,United States,Female,2021,Active
STU000199,Diploma,Chemistry,Malaysia,Male,2023,Graduated
STU000200,Bachelor,Business Administration,Philippines,Female,2021,Graduated
STU000201,PhD,Business Administration,Singapore,Female,2019,Deferred
STU000202,Bachelor,Chemistry,China,Female,2022,Deferred
STU000203,Foundation,Economics,United States,Male,2023,Deferred
STU000204,Diploma,Medicine,Singapore,Male,2020,Deferred
STU000205,Diploma,Economics,United Kingdom,Female,2021,Graduated
STU000206,Diploma,Arts,United Kingdom,Male,2022,Graduated
STU000207,Diploma,Engineering,South Korea,Female,2023,Deferred
STU000208,PhD,Law,Malaysia,Female,2022,Graduated
STU000209,Diploma,Chemistry,Japan,Male,2024,Graduated
STU000210,Foundation,Psychology,United Kingdom,Male,2024,Deferred
STU000211,PhD,Engineering,Philippines,Female,2022,Deferred
STU000212,PhD,Medicine,India,Male,2024,Active
STU000213,Master,Psychology,Vietnam,Female,2020,Graduated
STU000214,Master,Psychology,Malaysia,Male,2020,Active
STU000215,PhD,Chemistry,United States,Male,2022,Deferred
STU000216,Diploma,Psychology,Malaysia,Female,2021,Graduated
STU000217,Foundation,Engineering,Singapore,Male,2022,Deferred
STU000218,Master,Biology,China,Female,2021,Graduated
STU000219,Master,Engineering,United States,Male,2023,Graduated
STU000220,Foundation,Medicine,South Korea,Female,2021,Deferred
STU000221,Master,Mathematics,Indonesia,Female,2021,Graduated
STU000222,PhD,Mathematics,Canada,Male,2024,Deferred
STU000223,PhD,Medicine,Philippines,Female,2022,Graduated
STU000224,PhD,Psychology,Australia,Female,2024,Active
STU000225,Diploma,Mathematics,China,Male,2024,Active
STU000226,PhD,Economics,India,Female,2020,Active
STU000227,Master,Engineering,Malaysia,Male,2021,Deferred
STU000228,Master,Physics,Australia,Female,2023,Deferred
STU000229,PhD,Economics,Thailand,Male,2024,Graduated
STU000230,Bachelor,Law,Canada,Male,2020,Active
STU000231,PhD,Physics,United States,Male,2020,Graduated
STU000232,Diploma,Arts,Japan,Female,2024,Graduated
STU000233,Bachelor,Law,Indonesia,Female,2019,Active
STU000234,Foundation,Medicine,United States,Male,2020,Active
STU000235,Diploma,Physics,Indonesia,Female,2023,Active
STU000236,PhD,Chemistry,Indonesia,Female,2020,Graduated
STU000237,PhD,Mathematics,Singapore,Male,2023,Active
STU000238,Foundation,Psychology,Indonesia,Female,2019,Active
STU000239,Master,Medicine,Vietnam,Male,2021,Deferred
STU000240,Foundation,Engineering,United States,Female,2021,Graduated
STU000241,Foundation,Business Administration,Thailand,Female,2024,Active
STU000242,PhD,Physics,United Kingdom,Male,2022,Active
STU000243,Foundation,Mathematics,Malaysia,Male,2022,Graduated
STU000244,PhD,Mathematics,Japan,Male,2024,Graduated
STU000245,Diploma,Chemistry,Indonesia,Female,2020,Deferred
STU000246,PhD,Business Administration,Singapore,Female,2023,Deferred
STU000247,Diploma,Engineering,Australia,Male,2022,Deferred
STU000248,Diploma,Arts,Malaysia,Male,2023,Deferred
STU000249,Diploma,Computer Science,United States,Female,2022,Graduated
STU000250,Diploma,Arts,Philippines,Male,2020,Graduated
STU000251,Foundation,Physics,China,Female,2020,Active
STU000252,Diploma,Medicine,Japan,Male,2023,Deferred
STU000253,Master,Computer Science,Vietnam,Female,2021,Deferred
STU000254,Master,Chemistry,Singapore,Male,2024,Graduated
STU000255,Bachelor,Business Administration,Singapore,Male,2019,Deferred
STU000256,Diploma,Chemistry,Singapore,Male,2019,Active
STU000257,Bachelor,Engineering,Philippines,Male,2019,Active
STU000258,Bachelor,Engineering,India,Female,2022,Deferred
STU000259,Foundation,Physics,Thailand,Female,2022,Graduated
STU000260,Bachelor,Mathematics,Malaysia,Male,2024,Active
STU000261,Diploma,Business Administration,Thailand,Female,2024,Active
STU000262,Foundation,Physics,India,Male,2019,Active
STU000263,Bachelor,Mathematics,United States,Female,2021,Graduated
STU000264,Master,Medicine,India,Male,2019,Active
STU000265,Bachelor,Law,Thailand,Female,2022,Graduated
STU000266,Bachelor,Computer Science,Japan,Male,2020,Deferred
STU000267,Bachelor,Chemistry,South Korea,Female,2023,Graduated
STU000268,Bachelor,Medicine,China,Female,2024,Deferred
STU000269,Foundation,Computer Science,South Korea,Male,2024,Deferred
STU000270,Master,Law,Singapore,Male,2020,Deferred
STU000271,Master,Computer Science,Malaysia,Female,2021,Graduated
STU000272,Diploma,Medicine,Japan,Female,2020,Active
STU000273,Diploma,Biology,Philippines,Male,2019,Graduated
STU000274,Bachelor,Chemistry,Japan,Male,2020,Active
STU000275,Foundation,Chemistry,United Kingdom,Female,2019,Active
STU000276,PhD,Mathematics,Philippines,Female,2020,Deferred
STU000277,Diploma,Physics,South Korea,Male,2021,Active
STU000278,Bachelor,Arts,Indonesia,Male,2019,Graduated
STU000279,Diploma,Medicine,Indonesia,Male,2020,Graduated
STU000280,Bachelor,Economics,United States,Female,2019,Active
STU000281,Diploma,Law,United Kingdom,Female,2021,Active
STU000282,Master,Arts,United States,Female,2019,Active
STU000283,Foundation,Medicine,United Kingdom,Male,2023,Graduated
STU000284,Bachelor,Chemistry,Canada,Male,2021,Graduated
STU000285,Foundation,Physics,China,Male,2024,Deferred
STU000286,Foundation,Economics,Indonesia,Female,2024,Deferred
STU000287,Diploma,Psychology,India,Male,2020,Deferred
STU000288,Foundation,Economics,Philippines,Female,2023,Deferred
STU000289,Diploma,Economics,Malaysia,Female,2024,Active
STU000290,Bachelor,Computer Science,Indonesia,Male,2024,Active
STU000291,Foundation,Psychology,South Korea,Male,2020,Deferred
STU000292,Master,Arts,Thailand,Male,2022,Graduated
STU000293,Master,Economics,Australia,Male,2020,Active
STU000294,Master,Mathematics,Thailand,Male,2019,Deferred
STU000295,PhD,Computer Science,Thailand,Male,2019,Active
STU000296,Diploma,Chemistry,Japan,Male,2022,Deferred
STU000297,Bachelor,Law,China,Female,2024,Graduated
STU000298,PhD,Arts,United States,Female,2022,Graduated
STU000299,PhD,Economics,India,Male,2023,Active
